L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
Anthropology and Social Customs,0.07060643157041098,0.020463179648160964,0.029027314502122776,0.005910485255931908,0.004560909598475116,0.002093547934749636,0.06657303315027618,0.03593035294521402,0.012660761554271174,0.018334568502523615,0.03411655712890447,0.031696638384745957,0.055106613440729306,0.04122437631141785,0.006005759391485046,0.07761948791460277,0.015523804294339003,0.0036754149243529394,0.02747313794830212,0.024927622399161353,0.07806880757639567,0.004380417997674185,0.010451350015443724,0.018558483617232717,0.010913304154860064,0.015194798392740416,0.11601076757713746,0.009510410573684512,0.08250342870320852,0.07087823459144556
Arts and Archaeology,0.014198161283180752,0.013069210101721625,0.0066960057689379425,0.008339299284343122,0.009529429372528644,0.0035664350359382447,0.027830308583126524,0.057537348186090374,0.11914175335885764,0.017941901630914976,0.12721885976516964,0.006939801941652266,0.017851082107643104,0.01939045755529504,0.013170906758724014,0.023836320446678536,0.00660733781922348,0.003554650912647698,0.04484432862903816,0.20054851907245722,0.013847423767898322,0.003942646873770148,0.01605207724092242,0.02025585458779051,0.024549252953267497,0.009868665297410864,0.017864302833473542,0.011900437452339823,0.025363148288207852,0.11454407309075006
"Economy, Trade, and Technology",0.007281235856819492,0.12626142764168571,0.09060537825837335,0.26148643613385275,0.000907127224710231,0.09166834903409167,0.008668990041095705,0.04673403427588968,0.1187396459885049,0.001284184624770155,0.015248963617332639,0.0005345556021816507,0.002467769444808771,0.028751410784718014,0.007906517589249084,0.0076656157323368125,0.0010249363915611472,0.00025915284512438656,0.05598272969884921,0.010288348941779683,0.017533683041888792,0.0009333050389030697,0.005870296403648618,0.0030167915347410284,0.0,0.015478473267365444,0.0573438515511884,0.012047657294011513,0.004009132140518077,0.0
Education,0.0,0.0,0.0,0.003564431488888098,0.0,0.0014914800979097197,0.015313605839754428,0.020981414438326806,0.0005920599247697488,0.10691044374137836,0.0,0.0005141529996006044,0.0,0.029422686988941276,0.0,0.0,0.0,0.0,0.03913496528440863,0.11570041669397117,0.0,0.00435098368782747,0.0,0.0,0.0,0.4256285082949822,0.011292063355745912,0.0,0.0,0.22510278716349563
Geography and Travel,0.08086955024498603,0.1093330274451448,0.05139215043706076,0.020327345238180573,0.008469857456889107,0.075414154688367,0.038540961426247015,0.05200704767198555,0.003291639875128293,0.022588151908702177,0.06855373493878547,0.009322699929186898,0.006106532174724396,0.041533665623254924,0.02935990661995037,0.040520936629222494,0.0064519991317816845,0.007630405255777908,0.031109293121280742,0.01751788909759479,0.018148327223741482,0.008882823072328114,0.013893799261292134,0.023842726059758425,0.004614066048893059,0.05769109919068977,0.05646906108901676,0.05089644002064997,0.01695601361512575,0.028264695504253538
History and Chronology,0.018543214215582107,0.016938071451993816,0.20999906611912691,0.006061578031796472,0.0005188103782832744,0.0024290206356733196,0.13231559174030663,0.057881069889865175,0.006736448648259963,0.047501466929106353,0.03190984532902456,0.0002630501997136161,0.06330314203104984,0.043461184093123266,0.005597493015227566,0.044835573442819805,0.0013167433894150612,0.0012408080703246653,0.05010436877361662,0.012550243615220568,0.0391048424670408,0.007182650107383428,0.01137394342410125,0.01764249844482189,0.00041993696214772254,0.04727218659148042,0.02156572339956388,0.03800302913792264,0.016038824583953372,0.04788957488205502
Literature and Language,0.05107805983634641,0.018385623054615937,0.019613489242299057,0.008962959660577098,0.04111910231758944,0.0056417305861217485,0.021564555827176292,0.08962552060449976,0.0020655974199274975,0.06157846627207211,0.017630891677964874,0.0012441432749994488,0.008222107934538654,0.02773260011044661,0.0009920274919499874,0.03749335865816038,0.0130113704150388,0.0014237478266003576,0.10089064747400048,0.04753638941065989,0.06058372176280405,0.008794879618888002,0.007364125493308094,0.024093592254641416,0.044548720957387614,0.009459126925323507,0.017019599853805356,0.008457776852787596,0.037953714489665384,0.2059123526958041
Military | Natural Sciences,0.0018681979087883174,0.0,0.0331379452379455,0.21573211066240502,0.0,0.0,0.07263741991145986,0.08092536957535751,0.001733849152950823,0.0,0.04263257957635313,0.013606835625088272,0.0333983831641711,0.017766202539206716,0.013750882097683608,0.009982614431852787,0.0,0.011973307945324831,0.05642834832747138,0.05260597802725243,0.01252993110922157,0.0,0.0,0.0,0.018754703397569406,0.0289818440385765,0.05192094853136603,0.03492969089354845,0.11487756736532156,0.07982529048108516
Natural Sciences,0.020697915901028208,0.1024940790208023,0.021890203904802903,0.023694469326042158,0.05850904505902381,0.018045807086443006,0.012482084664155157,0.019387283976498908,0.0055621790485510265,0.008275227552692449,0.010210994714549343,0.010748457257299532,0.03844725224707024,0.024483488715244486,0.09024965334363153,0.007872829774434638,0.10544911193813486,0.049579788626717185,0.0489120076800108,0.015044120253146161,0.010617564581800742,0.003169118296176562,0.08641344067681005,0.004530584105749415,0.03865866827822764,0.04448125515074594,0.04371954643955242,0.02368305812789537,0.019104541956040548,0.03358622229672261
"Politics, Government, and Law",0.012411282097814945,0.001626004815980679,0.05782682412751916,0.13470829907772944,0.00023483653782753502,0.0018335797224876057,0.006402115155642245,0.07316465346869978,0.00852509111857998,0.055603865230066135,0.0019066698660133326,0.0010362553704023742,0.002689579541568458,0.011473005571115273,0.0052601417145263845,0.005884670268857799,0.0014249248571772057,0.0013870940871955914,0.08067098562478196,0.0217000423329366,0.3994416819471002,0.00180908484682616,0.0025874483906476163,0.014272250603568709,0.0009757855323877069,0.019397438542866612,0.017497877017745484,0.016481388680268348,0.012976636425220673,0.028790487426446014
Religion and Philosophy,0.008235527259117928,0.020999997599869646,0.015266115615624206,0.004069622378016024,0.0026066402054744247,0.0023215813175833083,0.03521387032555579,0.05133176545372798,0.0009425140844680574,0.2025833420056989,0.055525461734905426,0.0016888516385334695,0.031218977052100562,0.01628854303378359,0.002637024774691132,0.13267639189193345,0.0036272583302903757,0.001986219238393167,0.01635478971403595,0.031026449939748072,0.032824407594328066,0.07801713533793354,0.005332538342613342,0.10260782463168376,0.004477067864312041,0.017106076681140028,0.03844497967221214,0.01984831125491987,0.01730194218085845,0.047438772846447264
