time_window,subject_l1,subject_l2,strength,article_count,author_count,degree,betweenness
1858-1867,Anthropology and Social Customs,Ethnology,2.0,2,2,2,61.0
1858-1867,Anthropology and Social Customs,Manners and customs,2.0,2,2,2,61.0
1858-1867,Anthropology and Social Customs,Mythology,2.0,2,2,2,61.0
1858-1867,Arts and Archaeology,Antiquities,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Archaeology,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Architecture,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Music,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Numismatics,1.0,1,1,1,0.0
1858-1867,Education,Education,1.0,1,1,1,0.0
1858-1867,Geography and Travel,Travel,13.0,13,11,11,1037.166666666667
1858-1867,History and Chronology,"Chronology, Historical",1.0,1,1,1,0.0
1858-1867,History and Chronology,History,2.0,2,1,1,0.0
1858-1867,History and Chronology,"History, Modern (20th century)",6.0,6,5,5,721.8333333333333
1858-1867,Literature and Language,Literature,4.0,4,4,4,317.50000000000006
1858-1867,Natural Sciences,Agriculture,5.0,5,4,4,180.0
1858-1867,Natural Sciences,Astronomy,3.0,3,2,2,170.16666666666666
1858-1867,Natural Sciences,Botany,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Chemistry,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Geology,6.0,6,5,5,306.0000000000001
1858-1867,Natural Sciences,Hydrology,5.0,5,5,5,238.0
1858-1867,Natural Sciences,Medicine,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Meteorology,9.0,9,7,7,405.0
1858-1867,Natural Sciences,Zoology,5.0,5,3,3,121.0
1858-1867,"Politics, Government, and Law",Law,2.0,2,2,2,61.0
1858-1867,Religion and Philosophy,Buddhism,2.0,2,2,2,181.33333333333331
1858-1867,Religion and Philosophy,Christianity,3.0,3,3,3,3.0
1858-1867,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1858-1867,Religion and Philosophy,Philosophy,2.0,2,2,2,61.0
1868-1877,Anthropology and Social Customs,Ethnology,5.0,5,5,5,358.0
1868-1877,Anthropology and Social Customs,Manners and customs,3.0,3,3,3,89.0
1868-1877,Anthropology and Social Customs,Mythology,2.0,2,2,2,273.0
1868-1877,Arts and Archaeology,Antiquities,2.0,2,2,2,1.0
1868-1877,Arts and Archaeology,Archaeology,2.0,2,2,2,1.0
1868-1877,Arts and Archaeology,Music,3.0,3,3,3,89.0
1868-1877,"Economy, Trade, and Technology",Economics,2.0,2,1,1,0.0
1868-1877,Education,Education,1.0,1,1,1,0.0
1868-1877,Geography and Travel,Geography,1.0,1,1,1,0.0
1868-1877,Geography and Travel,Travel,4.0,4,4,4,132.0
1868-1877,History and Chronology,Biography,2.0,2,2,2,45.0
1868-1877,History and Chronology,History,5.5,6,6,6,782.0
1868-1877,History and Chronology,"History, Ancient",0.5,1,1,1,0.0
1868-1877,History and Chronology,"History, Modern (20th century)",8.0,8,5,5,174.0
1868-1877,Literature and Language,Literature,2.0,2,2,2,45.0
1868-1877,Military,Military art and science,0.5,1,1,1,0.0
1868-1877,Natural Sciences,Agriculture,2.0,2,1,1,0.0
1868-1877,Natural Sciences,Geology,4.0,4,3,3,131.0
1868-1877,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1868-1877,Natural Sciences,Medicine,3.0,3,1,1,0.0
1868-1877,Natural Sciences,Meteorology,4.0,4,3,3,5.0
1868-1877,Natural Sciences,Science,1.5,2,2,2,168.0
1868-1877,Natural Sciences,Zoology,2.0,2,2,2,1.0
1868-1877,Religion and Philosophy,Buddhism,2.0,2,2,2,45.0
1868-1877,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1868-1877,Religion and Philosophy,Religion,2.0,2,2,2,45.0
1878-1887,Anthropology and Social Customs,Ethnology,1.0,1,1,1,0.0
1878-1887,Anthropology and Social Customs,Folklore,1.0,1,0,0,0.0
1878-1887,Anthropology and Social Customs,Manners and customs,4.0,4,2,2,1.0
1878-1887,Arts and Archaeology,Antiquities,1.0,1,1,1,0.0
1878-1887,Arts and Archaeology,Art,1.0,1,1,1,0.0
1878-1887,Arts and Archaeology,Numismatics,3.0,3,3,3,3.0
1878-1887,Arts and Archaeology,Porcelain,1.0,1,1,1,0.0
1878-1887,"Economy, Trade, and Technology",Economics,2.0,2,2,2,5.916666666666667
1878-1887,"Economy, Trade, and Technology",Telecommunication,1.0,1,1,1,0.0
1878-1887,Education,Education,1.0,1,1,1,0.0
1878-1887,Geography and Travel,Geography,7.0,7,4,4,148.25
1878-1887,Geography and Travel,Travel,9.0,9,7,7,210.00000000000003
1878-1887,History and Chronology,Biography,1.0,1,1,1,0.0
1878-1887,History and Chronology,"Chronology, Historical",2.0,2,2,2,15.0
1878-1887,History and Chronology,History,3.0,3,3,3,189.25
1878-1887,Literature and Language,Language and languages,2.0,2,1,1,0.0
1878-1887,Literature and Language,Literature,14.0,14,10,10,488.91666666666686
1878-1887,Military,Military art and science,0.5,1,1,1,0.0
1878-1887,Natural Sciences,Agriculture,3.0,3,3,3,211.66666666666669
1878-1887,Natural Sciences,Astronomy,1.0,1,1,1,0.0
1878-1887,Natural Sciences,Botany,3.0,3,2,2,1.0
1878-1887,Natural Sciences,Geology,5.0,5,3,3,81.0
1878-1887,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1878-1887,Natural Sciences,Meteorology,4.0,4,4,4,12.0
1878-1887,Natural Sciences,Science,0.5,1,1,1,0.0
1878-1887,Natural Sciences,Zoology,2.0,2,2,2,1.0
1878-1887,"Politics, Government, and Law",Government,2.0,2,1,1,0.0
1878-1887,"Politics, Government, and Law",Law,2.0,2,1,1,0.0
1878-1887,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1878-1887,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1878-1887,Religion and Philosophy,Philosophy,1.0,1,1,1,0.0
1878-1887,Religion and Philosophy,Religion,2.0,2,2,2,41.0
1888-1897,Anthropology and Social Customs,Ethnology,4.0,4,3,3,84.0
1888-1897,Anthropology and Social Customs,Manners and customs,2.0,2,1,1,0.0
1888-1897,Arts and Archaeology,Architecture,3.0,3,3,3,3.0
1888-1897,Arts and Archaeology,Numismatics,4.0,4,4,4,6.0
1888-1897,"Economy, Trade, and Technology",Economics,5.0,5,2,2,20.0
1888-1897,"Economy, Trade, and Technology",Telecommunication,2.0,2,2,2,104.0
1888-1897,Geography and Travel,Geography,1.0,1,1,1,0.0
1888-1897,Geography and Travel,Travel,2.0,2,2,2,1.0
1888-1897,History and Chronology,History,8.0,8,8,8,158.0
1888-1897,Literature and Language,Literature,2.0,2,1,1,0.0
1888-1897,Natural Sciences,Agriculture,1.0,1,1,1,0.0
1888-1897,Natural Sciences,Astronomy,1.0,1,1,1,0.0
1888-1897,Natural Sciences,Botany,4.0,4,2,2,38.0
1888-1897,Natural Sciences,Hydrology,2.0,2,2,2,2.0
1888-1897,Natural Sciences,Zoology,1.0,1,1,1,0.0
1888-1897,"Politics, Government, and Law",Government,1.0,1,1,1,0.0
1888-1897,"Politics, Government, and Law",Law,1.0,1,1,1,0.0
1888-1897,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1888-1897,Religion and Philosophy,Christianity,1.0,1,1,1,0.0
1888-1897,Religion and Philosophy,Philosophy,1.0,1,1,1,0.0
1888-1897,Religion and Philosophy,Taoism,1.0,1,1,1,0.0
1898-1907,Anthropology and Social Customs,Ethnology,4.0,4,2,2,8.0
1898-1907,Anthropology and Social Customs,Folklore,0.5,1,1,1,0.0
1898-1907,Anthropology and Social Customs,Manners and customs,4.0,4,4,4,27.0
1898-1907,Anthropology and Social Customs,Mythology,0.5,1,1,1,0.0
1898-1907,Arts and Archaeology,Art,1.0,1,1,1,0.0
1898-1907,Arts and Archaeology,Numismatics,2.0,2,2,2,1.0
1898-1907,"Economy, Trade, and Technology",Economics,2.0,2,2,2,24.0
1898-1907,Geography and Travel,Travel,3.0,3,3,3,17.0
1898-1907,History and Chronology,Biography,2.0,2,2,2,24.0
1898-1907,History and Chronology,History,2.0,2,2,2,8.0
1898-1907,Natural Sciences,Agriculture,3.0,3,2,2,1.0
1898-1907,Natural Sciences,Astronomy,1.0,1,1,1,0.0
1898-1907,Natural Sciences,Botany,1.0,1,1,1,0.0
1898-1907,"Politics, Government, and Law",Government,2.0,2,2,2,1.0
1898-1907,"Politics, Government, and Law",Law,2.0,2,2,2,2.0
1898-1907,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1898-1907,Religion and Philosophy,Judaism,1.0,1,1,1,0.0
1898-1907,Religion and Philosophy,Philosophy,3.0,3,3,3,17.0
1898-1907,Religion and Philosophy,Religion,1.0,1,1,1,0.0
1908-1917,Anthropology and Social Customs,Ethnology,1.0,1,1,1,0.0
1908-1917,Anthropology and Social Customs,Manners and customs,4.0,4,3,3,110.0
1908-1917,Anthropology and Social Customs,Mythology,1.0,1,1,1,0.0
1908-1917,Arts and Archaeology,Antiquities,1.0,1,1,1,0.0
1908-1917,Arts and Archaeology,Archaeology,6.0,6,6,6,549.0
1908-1917,Arts and Archaeology,Architecture,1.0,1,1,1,0.0
1908-1917,Arts and Archaeology,Art,4.5,5,3,3,203.0
1908-1917,Arts and Archaeology,Bronzes,2.0,2,1,1,0.0
1908-1917,Arts and Archaeology,Decorative arts,3.0,3,1,1,0.0
1908-1917,Arts and Archaeology,Music,2.0,2,2,2,38.0
1908-1917,Arts and Archaeology,Numismatics,1.0,1,1,1,0.0
1908-1917,Arts and Archaeology,Painting,2.0,2,1,1,0.0
1908-1917,Arts and Archaeology,Sculpture,1.0,1,1,1,0.0
1908-1917,Geography and Travel,Travel,2.0,2,2,2,1.0
1908-1917,History and Chronology,"Chronology, Historical",1.0,1,1,1,0.0
1908-1917,History and Chronology,History,3.0,3,3,3,7.0
1908-1917,History and Chronology,"History, Modern (20th century)",1.0,1,1,1,0.0
1908-1917,Literature and Language,Language and languages,1.0,1,1,1,0.0
1908-1917,Literature and Language,Literature,7.0,7,5,5,113.0
1908-1917,Natural Sciences,Astronomy,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Botany,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Geology,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Meteorology,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Zoology,8.0,8,7,7,213.0
1908-1917,"Politics, Government, and Law",Law,2.0,2,2,2,4.0
1908-1917,Religion and Philosophy,Buddhism,3.0,3,1,1,0.0
1908-1917,Religion and Philosophy,Christianity,2.5,3,1,1,0.0
1908-1917,Religion and Philosophy,Confucianism,2.0,2,2,2,1.0
1908-1917,Religion and Philosophy,Philosophy,1.0,1,1,1,0.0
1908-1917,Religion and Philosophy,Religion,4.0,4,4,4,111.0
1908-1917,Religion and Philosophy,Taoism,1.0,1,1,1,0.0
1918-1927,Anthropology and Social Customs,Ethnology,10.0,10,9,9,837.717857142857
1918-1927,Anthropology and Social Customs,Folklore,2.0,2,2,2,8.0
1918-1927,Anthropology and Social Customs,Manners and customs,4.0,4,4,4,249.0
1918-1927,Arts and Archaeology,Antiquities,2.0,2,2,2,84.0
1918-1927,Arts and Archaeology,Archaeology,2.0,2,1,1,0.0
1918-1927,Arts and Archaeology,Art,5.0,5,5,5,361.3107142857144
1918-1927,Arts and Archaeology,Painting,1.0,1,1,1,0.0
1918-1927,Geography and Travel,Asia,3.0,3,3,3,167.0
1918-1927,Geography and Travel,Geography,5.0,5,5,5,423.72500000000014
1918-1927,Geography and Travel,Travel,7.0,7,5,5,330.0
1918-1927,History and Chronology,Biography,3.0,3,3,3,167.0
1918-1927,History and Chronology,History,2.5,3,3,3,386.2773809523807
1918-1927,History and Chronology,"History, Ancient",0.5,1,1,1,0.0
1918-1927,Literature and Language,East Asian languages,2.0,2,2,2,84.0
1918-1927,Literature and Language,Literature,19.0,19,11,11,914.9416666666671
1918-1927,Natural Sciences,Agriculture,6.0,6,3,3,167.0
1918-1927,Natural Sciences,Botany,3.0,3,3,3,167.0
1918-1927,Natural Sciences,Geology,5.0,5,5,5,26.0
1918-1927,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1918-1927,Natural Sciences,Science,1.0,1,1,1,0.0
1918-1927,Natural Sciences,Zoology,16.0,16,10,10,936.0
1918-1927,"Politics, Government, and Law",Political science,1.0,1,1,1,0.0
1918-1927,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1918-1927,Religion and Philosophy,China--Religion,5.0,5,5,5,552.210714285714
1918-1927,Religion and Philosophy,Christianity,3.0,3,2,2,8.375
1918-1927,Religion and Philosophy,Islam,3.0,3,2,2,1.0
1918-1927,Religion and Philosophy,Philosophy,5.0,5,5,5,330.0
1918-1927,Religion and Philosophy,Religion,7.0,7,7,7,1635.4416666666668
1918-1927,Religion and Philosophy,Taoism,3.0,3,2,2,84.0
1928-1937,Anthropology and Social Customs,Anthropology,2.0,2,2,2,1.0
1928-1937,Anthropology and Social Customs,Ethnology,3.0,3,3,3,113.0
1928-1937,Anthropology and Social Customs,Folklore,1.0,1,1,1,0.0
1928-1937,Arts and Archaeology,Antiquities,2.0,2,2,2,1.0
1928-1937,Arts and Archaeology,Archaeology,7.0,7,5,5,311.1666666666667
1928-1937,Arts and Archaeology,Architecture,1.0,1,1,1,0.0
1928-1937,Arts and Archaeology,Art,2.0,2,2,2,57.0
1928-1937,Arts and Archaeology,Painting,3.0,3,2,2,57.0
1928-1937,Arts and Archaeology,Porcelain,3.0,3,2,2,57.0
1928-1937,"Economy, Trade, and Technology",Economics,3.0,3,3,3,3.0
1928-1937,Education,Education,1.0,1,1,1,0.0
1928-1937,Geography and Travel,Asia,2.0,2,2,2,1.0
1928-1937,Geography and Travel,Geography,9.0,9,9,9,619.5
1928-1937,Geography and Travel,Travel,4.0,4,3,3,167.0
1928-1937,History and Chronology,Biography,1.0,1,1,1,0.0
1928-1937,History and Chronology,"Chronology, Historical",2.0,2,1,1,0.0
1928-1937,History and Chronology,History,7.0,9,9,9,904.3333333333333
1928-1937,History and Chronology,"History, Ancient",1.5,3,3,3,3.5
1928-1937,History and Chronology,"History, Modern (20th century)",0.5,1,1,1,0.0
1928-1937,Literature and Language,East Asian languages,4.0,4,4,4,264.66666666666674
1928-1937,Literature and Language,Language and languages,2.0,2,2,2,1.0
1928-1937,Literature and Language,Literature,8.0,8,8,8,538.8333333333335
1928-1937,Natural Sciences,Agriculture,1.0,1,1,1,0.0
1928-1937,Natural Sciences,Astronomy,2.0,2,2,2,57.0
1928-1937,Natural Sciences,Botany,3.0,3,3,3,3.0
1928-1937,Natural Sciences,Geology,2.0,2,1,1,0.0
1928-1937,Natural Sciences,Medicine,1.0,1,1,1,0.0
1928-1937,Natural Sciences,Science,1.0,1,1,1,0.0
1928-1937,Natural Sciences,Zoology,1.0,1,1,1,0.0
1928-1937,"Politics, Government, and Law","Associations, institutions, etc.",1.0,1,1,1,0.0
1928-1937,"Politics, Government, and Law",Political science,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,China--Religion,6.0,6,6,6,20.0
1928-1937,Religion and Philosophy,Christianity,4.0,4,1,1,0.0
1928-1937,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,Islam,2.0,2,1,1,0.0
1928-1937,Religion and Philosophy,Philosophy,4.0,4,4,4,221.0
1928-1937,Religion and Philosophy,Religion,5.0,5,4,4,6.0
1938-1948,Anthropology and Social Customs,Ethnology,3.0,3,3,3,23.0
1938-1948,Arts and Archaeology,Archaeology,5.0,5,5,5,42.0
1938-1948,"Economy, Trade, and Technology",Economics,1.0,1,1,1,0.0
1938-1948,Geography and Travel,Geography,1.0,1,1,1,0.0
1938-1948,History and Chronology,History,3.0,3,3,3,25.0
1938-1948,Literature and Language,Language and languages,4.0,4,4,4,36.0
1938-1948,Literature and Language,Literature,1.0,1,1,1,0.0
1938-1948,Natural Sciences,Medicine,1.0,1,1,1,0.0
1938-1948,Natural Sciences,Science,2.0,2,2,2,22.0
1938-1948,Natural Sciences,Zoology,2.0,2,2,2,12.0
1938-1948,"Politics, Government, and Law",Law,1.0,1,1,1,0.0
1938-1948,Religion and Philosophy,Christianity,2.0,2,2,2,1.0
1938-1948,Religion and Philosophy,Religion,5.0,5,5,5,69.0
