time_window,subject_l1,subject_l2,weighted_article_count,article_count,author_count,share
1858-1867,Anthropology and Social Customs,Anthropology,1.0,2,2,0.012048192771084338
1858-1867,Anthropology and Social Customs,Ethnology,1.0,2,2,0.012048192771084338
1858-1867,Anthropology and Social Customs,Manners and customs,2.5,3,3,0.030120481927710843
1858-1867,Anthropology and Social Customs,Mythology,1.5,2,2,0.018072289156626505
1858-1867,Arts and Archaeology,Archaeology,1.0,1,1,0.012048192771084338
1858-1867,Arts and Archaeology,Architecture,0.5,1,1,0.006024096385542169
1858-1867,Arts and Archaeology,Music,1.0,1,1,0.012048192771084338
1858-1867,Arts and Archaeology,Numismatics,1.0,1,1,0.012048192771084338
1858-1867,"Economy, Trade, and Technology",Commerce,1.499999999999999,5,4,0.01807228915662649
1858-1867,"Economy, Trade, and Technology",Industries,1.499999999999999,5,4,0.01807228915662649
1858-1867,"Economy, Trade, and Technology",Telecommunication,0.25,1,1,0.0030120481927710845
1858-1867,Education,Education,1.5,2,2,0.018072289156626505
1858-1867,Geography and Travel,Travel,12.5,13,12,0.15060240963855423
1858-1867,History and Chronology,"Chronology, Historical",1.0,1,1,0.012048192771084338
1858-1867,History and Chronology,History,1.5,2,1,0.018072289156626505
1858-1867,History and Chronology,"History, Modern (20th century)",6.0,6,5,0.07228915662650602
1858-1867,Literature and Language,Language and languages,4.333333333333333,5,5,0.05220883534136546
1858-1867,Literature and Language,Literature,0.833333333333333,2,1,0.010040160642570278
1858-1867,Natural Sciences,Agriculture,1.499999999999999,5,4,0.01807228915662649
1858-1867,Natural Sciences,Astronomy,2.0,2,1,0.024096385542168676
1858-1867,Natural Sciences,Botany,1.25,2,2,0.015060240963855422
1858-1867,Natural Sciences,Chemistry,1.0,1,1,0.012048192771084338
1858-1867,Natural Sciences,Geology,6.0,8,7,0.07228915662650602
1858-1867,Natural Sciences,Hydrology,5.25,6,6,0.06325301204819277
1858-1867,Natural Sciences,Medicine,1.0,1,1,0.012048192771084338
1858-1867,Natural Sciences,Meteorology,9.25,10,8,0.11144578313253012
1858-1867,Natural Sciences,Zoology,5.5,6,4,0.06626506024096386
1858-1867,"Politics, Government, and Law",Law,2.0,2,2,0.024096385542168676
1858-1867,Religion and Philosophy,Buddhism,1.5,2,2,0.018072289156626505
1858-1867,Religion and Philosophy,Christianity,2.333333333333333,3,3,0.028112449799196783
1858-1867,Religion and Philosophy,Confucianism,1.0,1,1,0.012048192771084338
1858-1867,Religion and Philosophy,Judaism,1.0,1,1,0.012048192771084338
1858-1867,Religion and Philosophy,Philosophy,2.0,2,2,0.024096385542168676
1868-1877,Anthropology and Social Customs,Anthropology,2.25,6,5,0.03571428571428571
1868-1877,Anthropology and Social Customs,Ethnology,2.25,6,5,0.03571428571428571
1868-1877,Anthropology and Social Customs,Manners and customs,3.0,3,3,0.047619047619047616
1868-1877,Anthropology and Social Customs,Mythology,1.0,1,1,0.015873015873015872
1868-1877,Arts and Archaeology,Archaeology,2.0,2,2,0.031746031746031744
1868-1877,Arts and Archaeology,Music,2.333333333333333,3,3,0.037037037037037035
1868-1877,"Economy, Trade, and Technology",Commerce,0.583333333333333,2,1,0.009259259259259255
1868-1877,"Economy, Trade, and Technology",Economics,2.0,2,1,0.031746031746031744
1868-1877,"Economy, Trade, and Technology",Industries,0.583333333333333,2,1,0.009259259259259255
1868-1877,Education,Education,1.0,1,1,0.015873015873015872
1868-1877,Geography and Travel,Geography,1.583333333333333,3,3,0.025132275132275127
1868-1877,Geography and Travel,Navigation,0.5,1,1,0.007936507936507936
1868-1877,Geography and Travel,Travel,5.0,6,6,0.07936507936507936
1868-1877,History and Chronology,Biography,2.0,2,2,0.031746031746031744
1868-1877,History and Chronology,History,4.75,6,6,0.07539682539682539
1868-1877,History and Chronology,"History, Modern (20th century)",8.0,8,5,0.12698412698412698
1868-1877,Literature and Language,Language and languages,5.583333333333333,7,6,0.08862433862433862
1868-1877,Literature and Language,Literature,0.583333333333333,2,2,0.009259259259259255
1868-1877,Military,Military art and science,1.0,1,1,0.015873015873015872
1868-1877,Natural Sciences,Agriculture,0.583333333333333,2,1,0.009259259259259255
1868-1877,Natural Sciences,Botany,0.333333333333333,1,1,0.0052910052910052855
1868-1877,Natural Sciences,Chemistry,0.25,1,1,0.003968253968253968
1868-1877,Natural Sciences,Geology,3.083333333333333,5,4,0.04894179894179894
1868-1877,Natural Sciences,Hydrology,1.333333333333333,2,2,0.02116402116402116
1868-1877,Natural Sciences,Medicine,2.0,2,1,0.031746031746031744
1868-1877,Natural Sciences,Meteorology,3.5,4,3,0.05555555555555555
1868-1877,Natural Sciences,Zoology,2.083333333333333,4,4,0.03306878306878307
1868-1877,Religion and Philosophy,Buddhism,1.333333333333333,2,2,0.02116402116402116
1868-1877,Religion and Philosophy,Confucianism,0.5,1,1,0.007936507936507936
1868-1877,Religion and Philosophy,Religion,2.0,2,2,0.031746031746031744
1878-1887,Anthropology and Social Customs,Anthropology,0.333333333333333,1,1,0.0040650406504065
1878-1887,Anthropology and Social Customs,Ethnology,0.333333333333333,1,1,0.0040650406504065
1878-1887,Anthropology and Social Customs,Manners and customs,4.5,5,3,0.05487804878048781
1878-1887,Anthropology and Social Customs,Mythology,1.0,1,0,0.012195121951219514
1878-1887,Arts and Archaeology,Numismatics,3.0,3,3,0.03658536585365854
1878-1887,Arts and Archaeology,Porcelain,0.25,1,1,0.0030487804878048786
1878-1887,"Economy, Trade, and Technology",Commerce,1.249999999999999,4,3,0.01524390243902438
1878-1887,"Economy, Trade, and Technology",Economics,1.9999999999999991,4,3,0.02439024390243902
1878-1887,"Economy, Trade, and Technology",Industries,1.249999999999999,4,3,0.01524390243902438
1878-1887,"Economy, Trade, and Technology",Telecommunication,1.0,1,1,0.012195121951219514
1878-1887,Education,Education,0.333333333333333,1,1,0.0040650406504065
1878-1887,Geography and Travel,Geography,5.999999999999999,8,5,0.07317073170731707
1878-1887,Geography and Travel,Navigation,0.666666666666666,2,1,0.008130081300813
1878-1887,Geography and Travel,Travel,8.666666666666666,10,7,0.10569105691056911
1878-1887,History and Chronology,Biography,1.0,1,1,0.012195121951219514
1878-1887,History and Chronology,"Chronology, Historical",2.0,2,2,0.02439024390243903
1878-1887,History and Chronology,History,3.5,4,3,0.0426829268292683
1878-1887,Literature and Language,Language and languages,17.666666666666664,19,12,0.21544715447154472
1878-1887,Literature and Language,Literature,1.166666666666666,3,2,0.01422764227642276
1878-1887,Military,Military art and science,1.0,1,1,0.012195121951219514
1878-1887,Natural Sciences,Agriculture,1.249999999999999,4,3,0.01524390243902438
1878-1887,Natural Sciences,Astronomy,1.0,1,1,0.012195121951219514
1878-1887,Natural Sciences,Botany,3.333333333333333,4,3,0.04065040650406505
1878-1887,Natural Sciences,Geology,5.333333333333333,6,4,0.06504065040650407
1878-1887,Natural Sciences,Hydrology,1.0,1,1,0.012195121951219514
1878-1887,Natural Sciences,Meteorology,4.0,4,4,0.04878048780487806
1878-1887,Natural Sciences,Zoology,1.333333333333333,2,2,0.016260162601626015
1878-1887,"Politics, Government, and Law",Government,0.9999999999999989,3,2,0.0121951219512195
1878-1887,"Politics, Government, and Law",Law,1.5,2,1,0.01829268292682927
1878-1887,"Politics, Government, and Law",Political science--Philosophy,0.9999999999999989,3,2,0.0121951219512195
1878-1887,Religion and Philosophy,Buddhism,1.0,1,1,0.012195121951219514
1878-1887,Religion and Philosophy,Confucianism,1.0,1,1,0.012195121951219514
1878-1887,Religion and Philosophy,Philosophy,1.0,1,1,0.012195121951219514
1878-1887,Religion and Philosophy,Religion,1.333333333333333,2,2,0.016260162601626015
1888-1897,Anthropology and Social Customs,Anthropology,1.75,4,3,0.036458333333333336
1888-1897,Anthropology and Social Customs,Ethnology,1.75,4,3,0.036458333333333336
1888-1897,Anthropology and Social Customs,Manners and customs,3.0,4,3,0.06250000000000001
1888-1897,Arts and Archaeology,Architecture,2.5,3,3,0.05208333333333334
1888-1897,Arts and Archaeology,Numismatics,2.583333333333333,5,4,0.05381944444444445
1888-1897,"Economy, Trade, and Technology",Commerce,0.25,1,1,0.005208333333333334
1888-1897,"Economy, Trade, and Technology",Economics,2.1666666666666647,6,3,0.04513888888888885
1888-1897,"Economy, Trade, and Technology",Industries,0.25,1,1,0.005208333333333334
1888-1897,"Economy, Trade, and Technology",Telecommunication,2.5,3,3,0.05208333333333334
1888-1897,Geography and Travel,Geography,1.0,1,1,0.020833333333333336
1888-1897,Geography and Travel,Travel,1.333333333333333,2,1,0.027777777777777776
1888-1897,History and Chronology,History,5.616666666666665,11,9,0.11701388888888888
1888-1897,Literature and Language,Language and languages,6.199999999999999,11,8,0.12916666666666668
1888-1897,Literature and Language,Literature,1.366666666666666,5,5,0.028472222222222215
1888-1897,Natural Sciences,Agriculture,0.25,1,1,0.005208333333333334
1888-1897,Natural Sciences,Astronomy,1.2,2,2,0.025
1888-1897,Natural Sciences,Botany,3.333333333333333,4,2,0.06944444444444445
1888-1897,Natural Sciences,Hydrology,1.5,2,2,0.03125000000000001
1888-1897,Natural Sciences,Zoology,1.0,1,1,0.020833333333333336
1888-1897,"Politics, Government, and Law",Government,1.666666666666665,5,2,0.03472222222222219
1888-1897,"Politics, Government, and Law",Law,0.75,2,2,0.015625000000000003
1888-1897,"Politics, Government, and Law",Political science,0.333333333333333,1,1,0.006944444444444438
1888-1897,"Politics, Government, and Law",Political science--Philosophy,0.9999999999999989,3,2,0.020833333333333315
1888-1897,Religion and Philosophy,Buddhism,1.5,2,2,0.03125000000000001
1888-1897,Religion and Philosophy,Christianity,1.0,1,1,0.020833333333333336
1888-1897,Religion and Philosophy,Philosophy,1.0,1,1,0.020833333333333336
1888-1897,Religion and Philosophy,Religion,0.2,1,1,0.0041666666666666675
1888-1897,Religion and Philosophy,Taoism,1.0,1,1,0.020833333333333336
1898-1907,Anthropology and Social Customs,Anthropology,1.666666666666666,4,2,0.045045045045045036
1898-1907,Anthropology and Social Customs,Ethnology,1.666666666666666,4,2,0.045045045045045036
1898-1907,Anthropology and Social Customs,Manners and customs,4.5,5,5,0.12162162162162164
1898-1907,Anthropology and Social Customs,Mythology,2.0,2,1,0.054054054054054064
1898-1907,Arts and Archaeology,Archaeology,0.5,1,1,0.013513513513513516
1898-1907,Arts and Archaeology,Art,0.5,1,1,0.013513513513513516
1898-1907,Arts and Archaeology,Music,0.5,1,1,0.013513513513513516
1898-1907,Arts and Archaeology,Numismatics,2.5,3,3,0.06756756756756759
1898-1907,"Economy, Trade, and Technology",Commerce,1.083333333333333,4,3,0.02927927927927928
1898-1907,"Economy, Trade, and Technology",Economics,2.166666666666666,4,4,0.05855855855855856
1898-1907,"Economy, Trade, and Technology",Industries,1.083333333333333,4,3,0.02927927927927928
1898-1907,Geography and Travel,Geography,0.666666666666666,2,1,0.018018018018018004
1898-1907,Geography and Travel,Travel,2.25,3,3,0.06081081081081082
1898-1907,History and Chronology,Biography,2.0,2,2,0.054054054054054064
1898-1907,History and Chronology,History,2.0,2,2,0.054054054054054064
1898-1907,Natural Sciences,Agriculture,1.083333333333333,4,3,0.02927927927927928
1898-1907,Natural Sciences,Astronomy,1.0,1,1,0.027027027027027032
1898-1907,Natural Sciences,Botany,1.0,1,1,0.027027027027027032
1898-1907,Natural Sciences,Hydrology,0.5,2,1,0.013513513513513516
1898-1907,"Politics, Government, and Law",Government,0.916666666666666,3,3,0.02477477477477476
1898-1907,"Politics, Government, and Law",Law,1.5,2,2,0.04054054054054055
1898-1907,"Politics, Government, and Law",Political science--Philosophy,0.916666666666666,3,3,0.02477477477477476
1898-1907,Religion and Philosophy,Confucianism,0.5,1,1,0.013513513513513516
1898-1907,Religion and Philosophy,Judaism,1.0,1,1,0.027027027027027032
1898-1907,Religion and Philosophy,Philosophy,2.25,3,3,0.06081081081081082
1898-1907,Religion and Philosophy,Religion,1.25,2,2,0.03378378378378379
1908-1917,Anthropology and Social Customs,Anthropology,0.5,1,1,0.00684931506849315
1908-1917,Anthropology and Social Customs,Ethnology,0.5,1,1,0.00684931506849315
1908-1917,Anthropology and Social Customs,Manners and customs,4.0,4,3,0.0547945205479452
1908-1917,Anthropology and Social Customs,Mythology,1.5,2,2,0.02054794520547945
1908-1917,Arts and Archaeology,Archaeology,6.166666666666666,11,8,0.08447488584474885
1908-1917,Arts and Archaeology,Architecture,1.0,1,1,0.0136986301369863
1908-1917,Arts and Archaeology,Art,3.166666666666666,8,5,0.043378995433789945
1908-1917,Arts and Archaeology,Bronzes,2.0,2,1,0.0273972602739726
1908-1917,Arts and Archaeology,Decorative arts,3.5,4,1,0.04794520547945205
1908-1917,Arts and Archaeology,Music,2.25,3,3,0.030821917808219176
1908-1917,Arts and Archaeology,Numismatics,1.0,1,1,0.0136986301369863
1908-1917,Arts and Archaeology,Painting,2.0,2,1,0.0273972602739726
1908-1917,Arts and Archaeology,Sculpture,1.0,1,1,0.0136986301369863
1908-1917,Geography and Travel,Travel,3.25,5,4,0.04452054794520548
1908-1917,History and Chronology,"Chronology, Historical",1.0,1,1,0.0136986301369863
1908-1917,History and Chronology,History,3.833333333333333,6,6,0.05251141552511415
1908-1917,History and Chronology,"History, Modern (20th century)",1.0,1,1,0.0136986301369863
1908-1917,Literature and Language,Language and languages,7.0,7,7,0.0958904109589041
1908-1917,Literature and Language,Literature,0.5,1,1,0.00684931506849315
1908-1917,Natural Sciences,Astronomy,1.0,1,1,0.0136986301369863
1908-1917,Natural Sciences,Botany,1.0,1,1,0.0136986301369863
1908-1917,Natural Sciences,Geology,0.5,1,1,0.00684931506849315
1908-1917,Natural Sciences,Hydrology,0.5,1,1,0.00684931506849315
1908-1917,Natural Sciences,Meteorology,1.0,1,1,0.0136986301369863
1908-1917,Natural Sciences,Zoology,8.0,8,7,0.1095890410958904
1908-1917,"Politics, Government, and Law",Law,2.0,2,2,0.0273972602739726
1908-1917,Religion and Philosophy,Buddhism,3.25,4,2,0.04452054794520548
1908-1917,Religion and Philosophy,Christianity,3.333333333333333,4,1,0.045662100456621
1908-1917,Religion and Philosophy,Confucianism,2.0,2,2,0.0273972602739726
1908-1917,Religion and Philosophy,Philosophy,1.0,1,1,0.0136986301369863
1908-1917,Religion and Philosophy,Religion,3.25,4,4,0.04452054794520548
1908-1917,Religion and Philosophy,Taoism,1.0,1,1,0.0136986301369863
1918-1927,Anthropology and Social Customs,Anthropology,4.999999999999999,11,10,0.04
1918-1927,Anthropology and Social Customs,Ethnology,4.999999999999999,11,10,0.04
1918-1927,Anthropology and Social Customs,Folklore,2.5,3,3,0.020000000000000004
1918-1927,Anthropology and Social Customs,Manners and customs,4.833333333333333,7,6,0.03866666666666667
1918-1927,Anthropology and Social Customs,Mythology,0.833333333333333,2,2,0.006666666666666665
1918-1927,Arts and Archaeology,Antiquities,0.333333333333333,1,1,0.002666666666666664
1918-1927,Arts and Archaeology,Archaeology,2.5,6,4,0.020000000000000004
1918-1927,Arts and Archaeology,Art,3.5,7,5,0.028000000000000004
1918-1927,Arts and Archaeology,Painting,1.0,1,1,0.008
1918-1927,"Economy, Trade, and Technology",Commerce,0.25,1,1,0.002
1918-1927,"Economy, Trade, and Technology",Economics,0.25,1,1,0.002
1918-1927,"Economy, Trade, and Technology",Industries,0.25,1,1,0.002
1918-1927,Geography and Travel,Asia,2.833333333333332,7,7,0.02266666666666666
1918-1927,Geography and Travel,Geography,2.333333333333332,5,5,0.018666666666666658
1918-1927,Geography and Travel,Travel,6.916666666666665,11,9,0.055333333333333325
1918-1927,History and Chronology,Biography,3.5,4,4,0.028000000000000004
1918-1927,History and Chronology,History,1.833333333333333,4,3,0.014666666666666666
1918-1927,History and Chronology,"History, Ancient",1.0,1,1,0.008
1918-1927,History and Chronology,"History, Modern",1.5,3,3,0.012000000000000002
1918-1927,Literature and Language,East Asian languages,2.0,2,2,0.016
1918-1927,Literature and Language,Language and languages,15.0,15,9,0.12000000000000001
1918-1927,Literature and Language,Literature,3.5,4,4,0.028000000000000004
1918-1927,Natural Sciences,Agriculture,2.583333333333332,6,3,0.02066666666666666
1918-1927,Natural Sciences,Botany,3.833333333333332,7,4,0.03066666666666666
1918-1927,Natural Sciences,Chemistry,0.25,1,1,0.002
1918-1927,Natural Sciences,Geology,4.5,5,5,0.036000000000000004
1918-1927,Natural Sciences,Hydrology,1.5,2,2,0.012000000000000002
1918-1927,Natural Sciences,Zoology,17.833333333333332,21,11,0.14266666666666666
1918-1927,"Politics, Government, and Law",Government,0.25,1,1,0.002
1918-1927,"Politics, Government, and Law",Political science,1.0,1,1,0.008
1918-1927,"Politics, Government, and Law",Political science--Philosophy,0.25,1,1,0.002
1918-1927,Religion and Philosophy,Buddhism,1.0,1,1,0.008
1918-1927,Religion and Philosophy,China--Religion,4.5,5,5,0.036000000000000004
1918-1927,Religion and Philosophy,Christianity,3.0,3,2,0.024000000000000004
1918-1927,Religion and Philosophy,Islam,3.0,3,2,0.024000000000000004
1918-1927,Religion and Philosophy,Philosophy,5.0,5,5,0.04000000000000001
1918-1927,Religion and Philosophy,Religion,6.833333333333333,8,8,0.05466666666666667
1918-1927,Religion and Philosophy,Taoism,3.0,3,2,0.024000000000000004
1928-1932,Anthropology and Social Customs,Anthropology,1.0,2,2,0.018867924528301886
1928-1932,Anthropology and Social Customs,Ethnology,1.0,2,2,0.018867924528301886
1928-1932,Anthropology and Social Customs,Folklore,1.0,1,1,0.018867924528301886
1928-1932,Anthropology and Social Customs,Mythology,0.5,1,1,0.009433962264150943
1928-1932,Arts and Archaeology,Art,1.0,1,1,0.018867924528301886
1928-1932,Arts and Archaeology,Music,0.5,1,1,0.009433962264150943
1928-1932,Arts and Archaeology,Porcelain,2.0,2,2,0.03773584905660377
1928-1932,"Economy, Trade, and Technology",Economics,1.0,1,1,0.018867924528301886
1928-1932,Education,Education,0.5,1,1,0.009433962264150943
1928-1932,Geography and Travel,Asia,2.583333333333332,7,7,0.04874213836477985
1928-1932,Geography and Travel,Geography,1.583333333333332,5,5,0.02987421383647796
1928-1932,Geography and Travel,Travel,1.583333333333332,5,5,0.02987421383647796
1928-1932,History and Chronology,Biography,1.5,2,2,0.02830188679245283
1928-1932,History and Chronology,"Chronology, Historical",1.5,2,2,0.02830188679245283
1928-1932,History and Chronology,"History, Ancient",2.0,2,2,0.03773584905660377
1928-1932,History and Chronology,"History, Modern",1.25,3,3,0.02358490566037736
1928-1932,Literature and Language,East Asian languages,4.0,4,4,0.07547169811320754
1928-1932,Literature and Language,Literature,4.5,5,5,0.08490566037735849
1928-1932,Natural Sciences,Astronomy,1.0,1,1,0.018867924528301886
1928-1932,Natural Sciences,Botany,5.0,5,3,0.09433962264150944
1928-1932,Natural Sciences,Geology,2.0,2,1,0.03773584905660377
1928-1932,Natural Sciences,Medicine,1.0,1,1,0.018867924528301886
1928-1932,Natural Sciences,Science,1.0,1,1,0.018867924528301886
1928-1932,Natural Sciences,Zoology,1.0,1,1,0.018867924528301886
1928-1932,"Politics, Government, and Law","Associations, institutions, etc.",1.0,1,1,0.018867924528301886
1928-1932,"Politics, Government, and Law",Political science,1.0,1,1,0.018867924528301886
1928-1932,Religion and Philosophy,China--Religion,6.5,7,7,0.12264150943396226
1928-1932,Religion and Philosophy,Islam,1.5,2,1,0.02830188679245283
1928-1932,Religion and Philosophy,Philosophy,2.5,3,3,0.04716981132075472
1928-1932,Religion and Philosophy,Religion,0.5,1,1,0.009433962264150943
